,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
0,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",4.0,0,3.0,2,3,3,3,3.0,2,3,2015
1,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",4.0,0,2.0,2,2,3,3,4.0,2,3,2015
2,"Los Angeles County (North Central)--Lancaster City PUMA, California",4.0,0,2.0,3,4,3,3,3.0,2,3,2015
3,"Los Angeles County (North Central)--Palmdale City PUMA, California",4.0,0,2.0,3,3,4,4,4.0,2,3,2015
4,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",3.0,0,2.0,2,3,3,3,3.0,2,3,2015
5,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",4.0,0,3.0,3,3,4,3,4.0,2,3,2015
6,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",4.0,0,2.0,4,4,4,5,5.0,2,4,2015
7,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",4.0,0,1.0,3,3,3,3,3.0,2,3,2015
8,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,2,2015
9,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",6.0,0,2.0,3,3,4,4,4.0,2,4,2015
10,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",3.0,0,1.0,2,2,3,3,3.0,2,2,2015
11,"Los Angeles County (East Central)--Pomona City PUMA, California",3.0,0,2.0,3,4,4,4,4.0,2,3,2015
12,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",4.0,0,2.0,3,3,3,4,3.0,2,3,2015
13,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",3.0,0,2.0,3,3,3,3,4.0,2,3,2015
14,"Los Angeles County (East Central)--West Covina City PUMA, California",5.0,0,1.0,3,3,4,4,4.0,2,3,2015
15,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",7.0,0,2.0,3,4,5,5,5.0,3,3,2015
16,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",3.0,0,3.0,2,3,3,3,4.0,2,3,2015
17,"Los Angeles County (Central)--Pasadena City PUMA, California",3.0,0,2.0,3,2,3,2,3.0,2,2,2015
18,"Los Angeles County (Central)--Glendale City PUMA, California",3.0,0,2.0,2,3,3,3,3.0,2,2,2015
19,"Los Angeles County (Central)--Burbank City PUMA, California",3.0,0,1.0,2,2,3,3,3.0,2,2,2015
20,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",3.0,0,1.0,2,2,2,3,3.0,2,2,2015
21,"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",4.0,0,1.0,3,3,2,3,3.0,2,3,2015
22,"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",4.0,0,2.0,3,4,4,5,4.0,3,4,2015
23,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",3.0,0,1.0,3,3,3,3,4.0,2,3,2015
24,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",3.0,0,1.0,2,3,3,3,3.0,2,3,2015
25,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",3.0,0,1.0,2,2,2,3,3.0,1,2,2015
26,"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",3.0,0,1.0,2,2,2,2,2.0,1,2,2015
27,"Los Angeles County (Southwest)--Santa Monica City PUMA, California",2.0,0,1.0,2,2,2,2,2.0,1,2,2015
28,"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",3.0,0,2.0,2,2,2,2,2.0,2,2,2015
29,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",3.0,0,2.0,2,2,2,2,3.0,2,2,2015
30,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",3.0,0,1.0,2,2,2,2,3.0,1,1,2015
31,"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",2.0,0,1.0,2,2,2,2,3.0,1,2,2015
32,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",2.0,0,1.0,2,2,3,3,3.0,2,2,2015
33,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",2.0,0,2.0,3,3,3,3,3.0,2,3,2015
34,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",3.0,0,2.0,3,3,3,4,4.0,2,3,2015
35,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",4.0,0,2.0,3,3,3,4,3.0,2,3,2015
36,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",5.0,0,2.0,3,3,3,4,4.0,2,3,2015
37,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",3.0,0,1.0,3,4,5,4,4.0,2,4,2015
38,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",4.0,0,1.0,2,3,3,4,3.0,2,3,2015
39,"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",5.0,0,2.0,3,3,4,4,4.0,2,3,2015
40,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",5.0,0,1.0,4,4,4,5,7.0,3,4,2015
41,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",10.0,0,1.0,3,4,5,7,6.0,3,4,2015
42,"Los Angeles County (Central)--East Los Angeles PUMA, California",3.0,0,3.0,3,4,4,4,4.0,3,4,2015
43,"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",2.0,0,1.0,3,2,3,2,2.0,2,3,2015
44,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",,0,1.0,4,5,6,7,,3,4,2015
45,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",4.0,0,2.0,3,3,3,6,5.0,2,4,2015
